user_name,verified,location,friends,followers
hippiechochos,False,0,1153,813
UnDinossaurio,False,"Acapulco 🌴, México 🇲🇽",300,547
ClaudiaLpezO1,False,0,65,19
valeriia_leal,False,"Monterrey, Nuevo León",162,493
YoselinTC,False,"San Francisco De Campeche, Méx",144,249
oliverpachecoMX,False,Campeche,199,4470
paoakkus,False,"Ciudad Ixtepec, Oaxaca",2639,1493
Wil_r_c,False,"Puebla, México",304,220
haun7erSSJ,False,"Parras, Coahuila de Zaragoza",2464,449
AnnyCahuich,False,"Campeche,México",600,1166
dradelalma,False,"Distrito Federal, México",213,932
cassandraamaort,False,"Hermosillo, Son | Puebla, pue.",509,190
andreacsantana,False,0,589,763
WebMAAC,False,VSA,814,1095
VictorMoheno,False,Siempre por ahí.,499,432
legtio,False,México DF,450,321
MartinMrtz,False,"Dorne, Poniente.",324,379
luiscardenas13,False,0,274,700
PuccaAndre,False,México,1204,613
RiosRioso,False,0,253,189
DianSG95,False,"Distrito Federal, México",637,242
jmichelo88,False,"Guanajuato, México",731,463
veronicamrdzh,False,CDMX,296,257
carlagarza,False,"México, D.F.",2016,520
JosueMazito,False,"Tlaxcala, México",4696,785
nantrevi,False,0,255,202
alligattorblood,False,0,449,350
CarolpRojo,False,"Sonora, Mexico.",197,715
ReynaEscobedo7,False,"Guaymas, Sonora",294,184
farmaceuticomx,False,México,2274,1276
CarlosBonilla_S,False,0,162,428
Khiran,False,Macondo,976,2070
omar_barsa6,False,"Guadalajara,Jal",365,252
sheilagarciam,False,"Hermosillo,Son",1043,1474
LuisFerGRomo,False,"Gdl, México",2451,590
Jolsck,False,"Guadalajara, Jalisco. Mx.",7263,10261
RobertoLjz,False,"Culiacán, Sinaloa",1071,645
ClaudiaPizzaP,False,México,1265,1000
perlaes95467748,False,0,171,21
medicenFero,False,"Celaya, Guanajuato",468,742
malenyghdz,False,México,789,1693
KaryJaguey,False,0,369,342
mariamillennial,False,"Guadalajara, Jalisco",2053,780
mario_apd,False,"Manzanillo, Colima",493,185
MarijoMacias10,False,Monterrey,438,485
alcuriel,False,DF,6,1823
Yaritsandra,False,"Acapulco de Juárez, Guerrero",102,663
azuara_valeria2,False,0,320,408
XimoLaGuera,False,0,581,654
YeddanyM,False,"Toronto, Ontario",72,82
MaferCuriiel,False,México,292,8626
Marthaxanali,False,0,645,1310
JulissazitrO,False,0,545,843
KarlaMtzVd,False,"Celaya, Guanajuato",207,145
letymmontes,False,0,45,57
Diego_Bencomo,False,Kuwait St. 23,538,726
olguiniss,False,0,821,310
untitledpotatox,False,En un infierno,1061,668
hashtagwafle,False,Hyrule ,1406,1773
Alemoreno_96,False,"Hermosillo, Sonora",343,362
mariasinomas,False,"Pachuca de Soto, Hidalgo",271,378
AraEMartz,False,"Hermosillo, Mexico",1516,884
vgavic,False,Madrid,1615,605
Maartineez_,False,"Apodaca, Nuevo León",328,664
aby_goretti,False,Monterrey ,125,2695
robertojuarezmx,False,"ÜT: 24.80639,-107.387931",1003,779
tazy,False,Ñah.,700,4080
andrrrea__,False,0,70,1484
jesus_tristan17,False,MEXICO,418,389
LuisExMachina,False,Mexico,92,8946
fabyromeg,False,México,190,204
pauorendain,False,0,243,458
AnaPatriciaaR,False,México,736,930
lukelitaWO,False,"Querétaro Arteaga, México",4097,735
_reeni_,False,Pared roja. P6. ,150,257
IsaacJoab,False,México.,685,624
JoSueAlvareZ,False,0,534,193
karys21,False,Zapopan,1065,171
TheWeirdWatcher,False,San Junipero,479,591
DjCandy_,False,"Culiacán, Sinaloa",203,420
sisoytanDulce,False,"Coyoacán, Distrito Federal",222,153377
pamelapinz,False,"Sinaloa, Méx.",519,756
DoXoR,False,"Hermosillo, Sonora. México.",507,134
TON_lgs,False,OrgulloMexicano  :(: ,85,154
Ibarra12Jc,False,0,296,145
fedexibangor,False,"Durango, México",623,271
DeivBahena,False,#AcapulcoEsAmor ,870,925
andydiazdl,False,0,598,1127
lizamoralesp,False,ceb,572,1308
LadyProspera,False,"Lawndale, CA",651,10683
Ariideli,False,México,233,303
mgcamero1,False,0,149,605
SoyAdaCortes,False,"León, Guanajuato",132,297
juanmarinduh,False,"Villa Hidalgo, Jalisco",231,330
evegurrola27,False,"Empalme, Sonora",752,779
poderunicornioo,False,Unknown,107,102
ElenaIruegas,False,"Monclova, Coahuila de Zaragoza",689,414
Fibonacci_Trade,False,"Nueva York, USA",156,61
GilbertoLlamas,False,Guadalajara,41,876
acaspe13,False,0,333,333
ValenteHdez,False,0,373,437
trgrivar,False,0,542,895
HILARY_MALIK,False,Mexico ,1642,627
lizzy_erre,False,0,366,450
NabilaBurr,False,A universe away,461,589
alin275,False,México,79,62
Phi_Shang,False,México,403,111
AleGBetancourth,False,0,140,408
juan936,False,Córdoba,356,69
Carlos_OG7,False,"Quintana Roo, México",331,326
heyitsmoxi,False,"General Escobedo, Nuevo León",513,905
Strawmi,False,Loop alimenticio.,827,865
iCrhistian,False,Ciudad de México,1651,4373
Celeste_Zurch,False,"Tabasco, México.",536,536
luucyaovalle,False,"Monterrey, Nuevo León",494,233
keylaaMG,False,"Mexico, Veracruz",151,222
zaqdia,False,0,163,1272
Hector_Arce_,False,"Guadalajara, Jalisco",592,547
JANETUTIS,False,"Querétaro Arteaga, México",175,710
Yarysu,False,0,350,983
SeMunozNogales,False,Nogales Sonora,100,61
MeDicenTronco,False,Ciudad de México,291,520
rikardoadrian,False,"Monterrey, Nuevo León",1208,471
LaTetasterona,False,Tultepec,973,973
conejodemaiz,False,0,350,62
lorenutria,False,"Monterrey, Mexico",282,958
knoro93,False,"Massachusetts, USA",557,306
danieepe,False,0,163,576
sandympegueros,False,0,370,181
SFranz93,False,"Querétaro Arteaga, México",131,123
gema_tikitiki,False,nací norteña hasta el tope,655,1146
leontrss,False,Ciudad de México.,2490,3259
MikeMadrigaI,False,"León, Guanajuato",474,13316
DivinaMSosa,False,México,956,1096
fernandacorrals,False,0,318,741
elpapadeguido,False,0,152,310
Anlleros,False,Entre las páginas de un libro.,694,348
pesv21,False,", Guanajuato MX",1965,355
DJLoverNahuel,False,"Coyoacán, Distrito Federal",383,208
Super93_5Sonora,False,Puerto Peñasco Sonora Mexico,385,297
irisfev,False,Puebla,1051,954
MANCANDY,False,0,1155,22811
chandenguiz,False,En tus pesadillas...,736,304
Lorenaaescobedo,False,0,143,270
josh2153,False,"Xalapa, Ver. Mex.",481,328
AbbeyKingsley,False,Callejon knortun,1147,2125
elsitaruiz,False,mexico df,239,283
SotaLesOnades,False,"Baja California, México",104,382
naatvega,False,Qro.,314,1663
rulogump,False,"Saltillo, Coahuila de Zaragoza",2195,1241
eltacourbano,False,Mexico,915,1047
valeriabasante,False,"Washington, DC",316,866
edithlara10,False,0,459,552
argefc,False,"Puerto Vallarta, Jalisco",813,473
clausrichart,False,"Aguascalientes, Ags.",1339,1536
Irishcienta,False,"Nuevo León, México",674,410
PauFernndez,False,0,235,189
EdgarCiruela,False,0,11707,31705
rouchelio,False,Gran City Pop,4016,3522
emujermx,False,México,778,362
DiegoJrzr6,False,"Centro, Tabasco",381,238
ImCristianBitch,False,"Guadalajara, Jalisco",1812,1383
nahohdz,False,Xalapa,359,229
monserrat_GG,False,Mexico,280,133
susan_mmr,False,"Tampico, Tamaulipas",572,433
TheGuiltyCode,False,México,1435,12160
BetitoMarina,False,0,1668,1427
chelseaverduzco,False,"Monterrey, Nuevo León",185,356
jherreraf01,False,México,4719,3925
NaomiRCoronado,False,0,358,1274
jassielh2,False,"Monterrey, Nuevo León",1446,313
AlexeyThin,False,mexico,135,141
memorifa,False,"San Luis Potosí, México",4935,4272
jm_yaqui,False,"Cajeme, Sonora",1058,3568
AngelDrope,False,0,400,431
